Glosse	Nr	Stichwörter	Bedeutungen	Einheit	Untereinheit	BS	BE	LU	SG	ZH	Movie	Stufe
schwerhörig_2	4996	schwerhörig	'(Adj.) schwerhörig sein      a) Information über Hörstatus: Diese Bedeutung wird eher bei hörenden Personen verwendet.      b) soziologischer, persönlicher Status = ‚nicht klar, wo er steht' : Diese Bedeutung der Gebärde wird eher bei Mitgliedern der Gehörlosengemeinschaft verwendet, die aber nicht genau wissen, wo sie stehen.      z.B. ER SCHWERHÖRIG, NICHT GEHÖRLOS = Er ist schwerhörig, nicht gehörlos  (N.)  ein/e Schwerhörige/er (Person)  (N.) Schwerhörigkeit    '	1	b				•		4996	1
sie	612	sie	'(Pro.,3.Pers.Plural) sie'	1	b	•	•	•	•	•	612	1
spätertaubt	1750	spätertaubt	'(Adj.) spätertaubt  Hinweis: bezeichnet eine bestimmte Gruppe von hörbehinderten/gehörlosen Menschen, die meist nach dem Spracherwerb ertaubt sind.'	1	b	•	•	•	•	•	1750	1
verneinen	4875	'nein, nicht, verneinen'	'(Verneinung) nein, nicht, verneinen, nein sagen  z.B. - Kommst du? - Nein! - nein sagen zu einer Sache - nein stimmen'	1	b	•	•	•	•	•	4875	1
wir_a	614	wir	(Pro.) (1. Person Pl.) wir	1	b	•	•	•	•	•	614	1
wir_b	255	wir 	'(Pro.) wir, 'wir zwei', 'wir beide' (1.+2. Pers.)'	1	b	•	•	•	•	•	255	1
dein 	8290	dein	(Pro.-Poss.) dein	1	c	•	•	•	•	•	8290	1
drei	6503	'3, drei'	(Zahlwort) drei (3)	1	c	•	•	•	•	•	6503	1
eins	6501	'1, eins, ein, eine'	'(Zahlwort) eins, ein, eine (1)'	1	c	•	•	•	•	•	6501	1
euer	6230	' euer, eure, eures '	'(Pro.-Poss.) euer, eures, gehört euch'	1	c	•	•	•	•	•	6230	1
fünf	2163	'5, fünf'	(Zahlwort) fünf (5)	1	c	•	•	•	•	•	2163	1
ihr_b	8292	ihr	(Pro-Poss) ihr (2.Pers. sing.)	1	c	•	•	•	•	•	8292	1
immer	407	'immer, dauernd, unaufhörlich, immerfort, andauernd'	'(Adv.) immer, dauernd, andauernd, unaufhörlich, immerfort'	1	c	•	•	•	•	•	407	1
mein	2296	'mein, meine, meiner, meines'	'(Pro.-Poss) mein, meine, meiner, meines'	1	c	•	•	•	•	•	2296	1
null	6541	'0, null'	(Zahlwort) null (0)	1	c	•	•	•	•	•	6541	1
sein	8291	'sein, ihr'	'(Pro.-Poss. 3 Pers. sg.) sein, ihr (Eigentum)  (Adj.) seine/ihre Eigenart, seine/ihre Art und Weise, 'etwas, das zu einer Person gehört'  z.B. - Norwegisch ist ihre Muttersprache, das gehört zu ihr.'	1	c	•	•	•	•	•	8291	1
uns	2522	uns	(Pro.) uns	1	c	•	•	•	•	•	2522	1
unser	8237	unser	(Pro_Poss.) unser	1	c	•	•	•	•	•	8237	1
vier	6504	'4, vier'	(Zahlwort) vier (4)	1	c	•	•	•	•	•	6504	1
warum_1	776	warum	(Fragewort) warum?	1	c	•		•			776	1
warum_2	5016	warum	(Fragewort) warum?	1	c				•	•	5016	1
warum_3	8720	warum	(Fragewort) warum?	1	c		•				8720	1
zwei	6502	'2, zwei'	(Zahlwort) zwei (2)	1	c	•	•	•	•	•	6502	1
acht	6508	'8, acht'	(Zahlwort) acht (8)	1	d	•	•	•	•	•	6508	1
antworten	759	'Antwort,  antworten'	'(N.) Antwort  (V.) antworten (mündlich, schriftlich)'	1	d	•	•	•	•	•	759	1
beobachten           	550	'beobachten, <überwachen>'	'(V.) beobachten, mit Argusaugen jmd. oder etwas beobachten <überwachen>'	1	d	•	•	•	•	•	550	1
fragen	63	'fragen, Frage, erkundigen'	'(V.) fragen, sich erkundigen  (N.) Frage stellen  Das Verb FRAGEN wird oft flektiert verwendet:  - sich (selber) fragen, sich hinterfragen - Umfrage machen - jeden einzelnen fragen - alle fragen'	1	d	•	•	•	•	•	63	1
klar_1	4201	'klar, deutlich, hell'	'(Adj.) klar, deutlich, hell  z.B. - Jetzt ist die Lösung meines Problems klar, jetzt hat sich das Problem geklärt. - Die Sterne leuchten so hell und klar am Nachthimmel.  '	1	d			•		•	4201	1
