Glosse	Nr	Stichwörter	Bedeutungen	Einheit	Untereinheit	BS	BE	LU	SG	ZH	Movie	Stufe
2373	erfinden	erfinden, ausdenken	(V.) erfinden, ausdenken$z.B. etwas erfinden, eine Maschine	3	d	•	•	•	•	•	2	V.	3d
2548	Erfolg	Erfolg, erfolgreich	(N.) Erfolg$(V.) Erfolg haben$(Adj.) erfolgreich$Für «immer wiederkehrende Erfolge» im Geschäft oder Sport wird die Phrase ERFOLG AUFWÄRTS verwendet.	1	d	•	•	•	•	•	2	Sport, Adj., Adv., Nomen, Verben	1 d
8695	erfunden	erfunden	(Adj., Interjektion) erfunden (mit negativer Nebenbedeutung)$z.B. das stimmt nicht, das hast du erfunden	3	d	•	•	•	•	•	2	Adj., Adv., Begrüssung Interjektion Rückmeldung	3 d
7036	erholen	erholen, genesen, Erholung, Genesung	(V.) erholen, genesen, Kraft schöpfen$(N.) Erholung, Genesung	2	c	•	•	•	•	•	2	Freizeit, Ferien, Reisen, Nomen, Verben	2 c
36	erinnern	erinnern, bewahren	(V.) sich erinnern, etwas bleibt in Erinnerung, bewahren, nicht vergessen, nie vergessen (Ereignis, Person)	1	d	•	•	•	•	•	2	Verben	1 d
267	erklären	erklären, erläutern, verdeutlichen, aufklären, Erklärung, Aufklärung	(V. übereinstimm.) erklären, erläutern, verdeutlichen$(N.) Erklärung$Aufklärung, aufklären:$Mundbild «aufklären» +ERKLÄREN$z.B. Kind über Sexualität aufklären	2	b	•	•	•	•	•	2	Nomen, Verben	2 b
5245	erleben	erleben, Erlebnis, erlebt	(V.) erleben, erfahren (selbst erlebt, erfahren)$Die DSGS kennt ERLEBEN nur als Verb. In der Deutschübersetzung kann es sinngemäss auch als Nomen (das Erlebnis, ein Erlebnis gehabt haben) verwendet werden.	1	d	•	•	•	•	•	2	Verben	1 d
6656	erledigen	erledigen	(V.) erledigen, fertig machen	4	d	•	•	•	•	•	2	Verben	4 d
6610	erste_b	1., erste, erstens	(Zahlwort) erste (in einer Liste)	1	d	•	•	•	•	•	2	Zahlen	1 d
268	Erwachsene	Erwachsene, erwachsen	(N.) Erwachsene$(Adj.) erwachsen sein (Alter, Eigenschaft)	1	a	•	•	•	•	•	2	Familie, Adj., Adv., Nomen	1a
219	erzählen	erzählen, vortragen	(V. übereinstimm.) erzählen, vortragen$z.B. Geschichte, Märchen, Erlebnis	2	c	•	•	•	•	•	2	Verben	2 c
2488	Etwas	etwas	(N.) Etwas, unbestimmtes (Wesen oder Objekt)$z.B. etwas Komisches sehen	1	c	•	•	•	•	•	2	Nomen	1 c
28	explodieren	explodieren, platzen	(V.) explodieren, etwas geht in die Luft$(V.) platzen$z.B. eine Bombe, ein Haus$Die DSGS kennt EXPLODIEREN nur als Verb. In der Deutschübersetzung kann es sinngemäss auch als Nomen (eine Explosion) verwendet werden.	3	d	•	•	•	•	•	2	Verben	3 d
2896	fad	fad, fade, langweilig, uninteressant	(Adj.) fad, fade, langweilig, uninteressant, nichts besonderes, nicht spannend$Notiz: Aussage über einen Film, eine Veranstaltung, ein Angebot, über wie etwas aufgenommen, wahrgenommen wurde/wird.	2	d	•	•	•	•	•	2	Adj., Adv.	2 d
8310	Fahrplan_1	Fahrplan, Kursbuch	(N.) Fahrplan, Kursbuch	2	c	•			•	•	2	Freizeit, Ferien, Reisen, Nomen	2 c
5726	Fahrplan_2	Fahrplan, Kursbuch	(N.) Fahrplan, Kursbuch	2	c		•	•			2	Freizeit, Ferien, Reisen, Nomen	2 c
4	fallen	fallen, stürzen	(V.) fallen, stürzen (Mensch)	3	b	•	•	•	•	•	2	Freizeit, Ferien, Reisen, Verben	3 b
5049	Familie_1	Familie	(N.) Familie	1	a	•	•	•		•	2	Familie, Nomen	1a
90	Familie_2	Familie	(N.) Familie	1	a	•	•		•		2	Familie, Nomen	1a
9131	Familienfest_1	Familienfest	(N.) Familienfest	1	a	•	•	•		•	2	Familie, Feste, Nomen	1a
5688	Familienfest_2	Familienfest	(N.) Familienfest	1	a				•		2	Familie, Feste, Nomen	1a
3702	fangen	fangen, einfangen	(V.) fangen, einfangen (Gegenstand, Tier)$z.B. den Ball fangen	4	c	•	•	•	•	•	2	Verben	4 c
4841	Farbpalette_1	Farbpalette, Malkasten	(N.) Farbpalette, Malkasten	1	c	•				•	2	Freizeit, Ferien, Reisen, Nomen	1 c
8978	Farbpalette_2	Farbpalette	(N.) Farbpalette, Malkasten	1	c		•	•	•		2	Freizeit, Ferien, Reisen, Nomen	1 c
427	fast	fast, beinahe, knapp	(Adv.) fast, beinahe, knapp, um ein Haar	3	d	•	•	•	•	•	2	Adj., Adv.	3 d
548	faulenzen_1	faulenzen, rumhängen, faul, passiv, inaktiv	(V.) faulenzen, rumhängen$(Adj.) faul, passiv, inaktiv	2	b	•	•	•		•	2	Freizeit, Ferien, Reisen, Adj., Adv., Verben	2 b
5666	faulenzen_2	faulenzen	(V.) faulenzen, rumhängen$(Adj.) faul, passiv, inaktiv	2	b				•		2	Freizeit, Ferien, Reisen, Adj., Adv., Verben	2 b
5123	Fax	Fax, Faxmitteilung, Telefax, faxen	(N.) Fax, Faxmitteilung, Telefax$(V.) faxen, Fax senden, Fax schicken	2	d	•	•	•	•	•	2	Medien, Nomen, Verben	2 d
2316	Februar	Februar	(N.) Februar (Monat)	2	b	•	•	•	•	•	2	Zeit_Kalender	2 b
2495	Feierabend	Feierabend, Dienstschluss, Arbeitsschluss	(N.) Feierabend, Dienstschluss, Arbeitsschluss	2	b	•	•	•	•	•	2	Zeit_Tag, Nomen	2 b
2396	feiern	feiern, festen	(V.) feiern, festen, etwas feiern$z.B. bestandene Prüfung feiern	1	d	•	•	•	•	•	2	Feste, Verben	1 d
2517	fein_a	fein, ausgezeichnet, schmackhaft, lecker	(Adj.) fein, ausgezeichnet, schmackhaft, lecker (Essen)$z.B. Das Essen war sehr fein.	1	c	•	•	•		•	2	Essen, Adj., Adv.	1 c
1176	fein_b	fein!, schmeckt!, lecker!	(Interjektion) fein! schmeckt mir! lecker!	1	c	•	•	•	•	•	2	Begrüssung Interjektion Rückmeldung	1 c
2900	Feld	Feld, Acker, Ackerboden	(N.) Feld, Acker (Landwirtschaft)$z.B.$- Kuhherde auf dem Feld$- den Acker bestellen	3	d	•	•	•	•	•	2	Landschaft, Nomen	3 d
1023	Fenster_2	Fenster	(N.) Fenster	2	a		•				2	Wohnen, Nomen	2a
146	Ferien_1	Ferien, Urlaub 	(N.) Ferien, Urlaub$(V.) Ferien - nehmen, haben, machen	2	c	•	•	•		•	2	Freizeit, Ferien, Reisen, Nomen, Verben	2 c
2722	Ferien_2	Ferien, Urlaub	(N.) Ferien, Urlaub$(V.) Ferien - nehmen, haben, machen	2	c				•		2	Freizeit, Ferien, Reisen, Nomen, Verben	2 c
53	fertig	fertig, aufhören	(Adv.) fertig (sein), aufhören, «Schluss machen», etwas erledigt haben$z.B. Aktivität, Handlung$(Diskurs):$Wird als Marker (Zeichen) verwendet um das Ende eines Abschnitts einer Geschichte zu zeigen.	1	c	•	•	•	•	•	2	Adj., Adv.	1 c
234	Fertig!	Fertig!, Aufhören!, Schluss!, Stop!	(Befehl) Fertig!, Aufhören!, Schluss!, Stop!, Stop jetzt! Schluss damit!$(Adv.) «nicht mehr», «nie mehr», «jetzt ist Schluss damit», «jetzt wird aufgehört damit»	1	c	•	•	•	•	•	2	Adj., Adv.	1 c
6562	Fest_a	Fest, festen, Feier, feiern	(V.) Fest feiern, jemanden/einen Anlass feiern, sich unterhalten$(N.) Fest, Feier, Feierlichkeit, feierlicher Anlass$allgemein, d.h. für alle Festarten (Geburtstag, Party, Konfirmation, Beerdigung, usw.)	1	a	•	•	•		•	2	Feste, Nomen, Verben	1a
2395	Fest_b	Fest, Party, Vergnügen, Unterhaltung feiern, festen	(N.) Fest, Party, Vergnügen, Unterhaltung$(V.) feiern, festen, fröhlich, lustig beisammen sein, sich gut unterhalten	1	a	•	•	•	•	•	2	Feste, Freizeit, Ferien, Reisen, Nomen, Verben	1a
2389	Fest_c	Fest, Party	(N.) Fest, Party$z.B. Geburtstagsfest, Stadtfest (z.B. Züri-Fäscht)	1	a	•	•	•	•	•	2	Feste, Nomen	1a
5728	feststellen	feststellen, bemerken, realisieren, festlegen	(V.) feststellen, bemerken, realisieren$(V.) festlegen	2	c	•	•	•	•	•	2	Verben	2 c
9184	Feuerwerk	Feuerwerk	(N.) Feuerwerk	3	b	•	•	•	•	•	2	Feste, Nomen	3 b
668	Fieber	Fieber, fiebrig	(N.) Fieber$(V./Adj.) Fieber haben, fiebrig sein$Oft verwendet mit Angabe, ob hohes Fieber (HOCH) oder wenig (WENIG) Fieber	2	d	•	•	•	•	•	2	Adj., Adv., Nomen, Verben	2 d
2336	Film	Film, Kinofilm	(N.) Film, Kinofilm	3	a	•	•	•	•	•	2	Freizeit, Ferien, Reisen, Medien, Nomen	3a
5077	Fisch	Fisch	(N.) Fisch (Tier)$(N.) Fisch (Sternzeichen)	4	c	•	•	•	•	•	2	Essen, Tiere, Nomen	4 c
5424	fischen	fischen, angeln	(V.) fischen, angeln	1	d	•	•	•	•	•	2	Freizeit, Ferien, Reisen, Verben	1 d
9063	fit	fit, leistungsfähig	(Verb-Zustand) fit, leistungsfähig, in guter körperlicher Verfassung	4	d	•	•	•	•	•	2	Freizeit, Ferien, Reisen, Sport, Verben	4 d
2103	Fitness	Fitness, Fitnesstraining, fit, trainieren	(N.) Fitness$(V.) ins Fitnesstraining gehen, fitten, trainieren$(Adj.) fit sein	2	b	•	•	•	•	•	2	Freizeit, Ferien, Reisen, Sport, Nomen, Verben	2 b
5297	Flug	Flug	(N.) Flug (Flugzeug)	3	a	•	•	•	•	•	2	Freizeit, Ferien, Reisen, Nomen	3a
8268	Fluss	Fluss	(N.) Fluss	2	a	•	•	•	•	•	2	Landschaft, Nomen	2a
69	folgen	folgen, nachgehen, nachmachen, befolgen, nachahmen, einhalten	(V.) folgen, nachgehen, befolgen, einhalten$z.B. Personen, Tiere, Verkehr, Regel	3	b	•	•	•	•	•	2	Verben	3 b
6625	Form	Form, Gestalt	(N.) Form, Gestalt	3	b	•	•	•	•	•	2	Nomen	3 b
5044	Foto	Foto, Fotografie, Aufnahme, Bild, fotografieren, aufnehmen	(N.) Foto, Fotografie, Aufnahme, Bild$(V.) Foto machen, fotografieren, aufnehmen	3	b	•	•	•	•	•	2	Freizeit, Ferien, Reisen, Nomen, Verben	3 b
1092	Frankfurt	Frankfurt	(N., Namen) Frankfurt	2	c	•	•	•	•	•	2	Länder, Städte, Namen, Nomen	2 c
820	Frankreich_1	Frankreich	(N., Namen) Frankreich (Land)	2	c		•	•	•	•	2	Länder, Städte, Namen, Nomen	2 c
5616	Frankreich_2	Frankreich	(N., Namen) Frankreich	2	c	•					2	Länder, Städte, Namen, Nomen	2 c
731	Freitag	Freitag	(N.) Freitag (Wochentag)	2	b	•	•	•	•	•	2	Zeit_Kalender, Nomen	2 b
2906	Freizeit_1	Freizeit	(N.) Freizeit	2	a	•	•		•	•	2	Freizeit, Ferien, Reisen, Nomen	2a
8967	Freizeit_2	Freizeit	(N.) Freizeit	2	a			•			2	Freizeit, Ferien, Reisen, Nomen	2a
2520	fressen	fressen, verschlingen	(V.) fressen, verschlingen (Tier)$(V.) fressen, (unanständig) viel essen (Mensch)$(tiefes Register)	4	c	•	•	•	•	•	2	Essen, Tiere, Verben	4 c
5131	Freude	Freude, freuen, erfreuen, erfreut	(N.) Freude$(V.) sich freuen, erfreuen$(Adj.) erfreut sein	1	d	•	•	•	•	•	2	Adj., Adv., Nomen, Verben	1 d
1066	Freund_a	Freund, befreunden	(N.) Freund/in, enge/r Freund/in, Bekannte/r (freundschaftliche Beziehung)$(V.) befreunden	1	b	•	•	•	•	•	2	Familie, Nomen	1 b
2267	Freund_b	Freund, Partner, Lebenspartner, befreunden	(N.) Freund/in, Partner/in, Lebenspartner/in$(nur für Liebesbeziehungen)$(V.) befreunden	1	b	•	•	•	•	•	2	Familie, Nomen	1 b
194	froh_a	froh, erleichtert, beruhigt, entlastet	(Adj.) froh, erleichtert, beruhigt, entlastet$z.B. Ich bin froh, dass alles gut gelaufen ist.	2	a	•	•	•	•	•	2	Adj., Adv.	2a
5132	froh_b	froh, erleichtert, beruhigt	(Adj.) froh, erleichtert, beruhigt	2	a	•	•	•	•	•	2	Adj., Adv.	2a
5197	fröhlich_1	fröhlich, unbeschwert, ausgelassen, unbekümmert	(Adj.) fröhlich, unbeschwert, ausgelassen, unbekümmert, frohes Gemüt haben	3	d	•	•	•		•	2	Adj., Adv.	3 d
5671	fröhlich_2	fröhlich, unbeschwert, ausgelassen, unbekümmert	(Adj.) fröhlich, unbeschwert, ausgelassen, unbekümmert, frohes Gemüt haben	3	d				•		2	Adj., Adv.	3 d
7205	Frosch	Frosch	(N.) Frosch (Tier)	3	d	•	•	•	•	•	2	Tiere, Nomen	3 d
2908	Früchte	Früchte, Obst, Frucht	(N.) Früchte (Oberbegriff)	2	a	•	•	•	•	•	2	Essen, Nomen	2a
708	früh	früh, frühzeitig, zeitig, vorzeitig	(Adv.) früh, frühzeitig, zeitig, vorzeitig (zu früh)$Kombinationen:$FRÜH GEBURT = (zu) früh geboren$FRÜH ERTAUBT = früh Gehör verloren$FRÜH KOMMEN = früh kommen, hier sein	4	a	•	•	•	•	•	2	Zeitwort, Adj., Adv.	4a
214	früher_a	früher	(Adv., Zeitwort) früher, in der Vergangenheit	3	a	•	•	•	•	•	2	Zeitwort, Adj., Adv.	3a
707	früher_b	früher, damals	(Adv., Zeitwort) früher	3	a	•			•	•	2	Zeitwort, Adj., Adv.	3a
306	Frühling_1	Frühling, Frühjahr, Lenz	(N.) Frühling, Frühjahr, Lenz (Jahreszeit)	2	b	•	•		•	•	2	Zeit_Kalender, Nomen	2 b
192	Frühling_2	Frühling, Frühjahr, Lenz, Lenzenzeit	(N.) Frühling, Frühjahr, Lenz, Lenzenzeit (Jahreszeit)	2	b			•			2	Zeit_Kalender, Nomen	2 b
3024	Frühstück	Frühstück, Morgenessen	(N.) Frühstück, Morgenessen	2	a	•	•	•	•	•	2	Essen, Nomen	2a
8261	fühlen	fühlen, wahrnehmen, empfinden, merken	(V.) fühlen, wahrnehmen, empfinden, merken (instinktiv oder mit dem Tastsinn)	3	d	•	•	•	•	•	2	Verben	3 d
1809	fünfundfünfzig	55, fünfundfünfzig	(Zahlwort) fünfundfünfzig, 55	4	a	•	•	•	•	•	2	Zahlen	4a
4143	für	für	(Präp.) für (+Nomen)$z.B.$- Ein Geschenk für meine Mutter.$- Eine Reservation fürs Kino, Restaurant etc.$- Den Kampf führen für höhere Löhne.	1	b	•	•	•	•	•	2		1 b
9	für_was_1	für was?, wofür, wozu	(Frage, Feststellung) für was, wofür, wozu$z.B. Wozu/ Wofür soll ich es machen; was bringt's?	3	c		•	•	•	•	2		3 c
5709	für_was_2	für was?, wofür, wozu	(Frage, Feststellung) für was, wofür, wozu$z.B. Wozu/ Wofür soll ich es machen; was bringt's?	3	c	•					2		3 c
2077	Fussball	Fussball, Fussballspiel, Fussball spielen	(N.) Fussball (Sportart)$(N.) Fussballspiel$(V.) Fussball spielen	2	b	•	•	•	•	•	2	Freizeit, Ferien, Reisen, Sport, Nomen, Verben	2 b
5128	füttern	füttern, Futter	(V.) füttern, Futter geben (Tiere)$(N.) Futter	1	b	•	•	•	•	•	2	Tiere, Nomen, Verben	1 b
9177	Gameboy	Gameboy	(N.) Gameboy	4	b	•	•	•	•	•	2	Freizeit, Ferien, Reisen, Nomen	4 b
332	ganzer_Tag_1	ganzer Tag, ganztägig	(Adv.) ganzer Tag, ganztägig, vom Morgen bis zum Abend, von morgens bis abends$z.B. dieser Kurs dauert den ganzen Tag, ein ganztägiger Kurs = KURS GANZER_TAG	2	a		•			•	2	Zeit_Tag	2a
2315	ganzer_Tag_2	ganzer Tag, ganztägig	(Adv.) ganzer Tag, ganztägig, vom Morgen bis zum Abend, von morgens bis abends$z.B. dieser Kurs dauert den ganzen Tag, ein ganztägiger Kurs = KURS GANZER_TAG	2	a	•		•			2	Zeit_Tag	2a
5664	ganzer_Tag_3	ganzer Tag, ganztägig	(Adv.) ganzer Tag, ganztägig, vom Morgen bis zum Abend, von morgens bis abends$z.B. dieser Kurs dauert den ganzen Tag, ein ganztägiger Kurs = KURS GANZER_TAG	2	a				•		2	Zeit_Tag	2a
5453	Gebäude_1	Gebäude	(N.) Gebäude, grosses Haus	2	a	•	•			•	2	Landschaft, Wohnen, Nomen	2a
8949	Gebäude_2	Gebäude	(N.) Gebäude, grosses Haus	2	a			•	•		2	Wohnen, Nomen	2a
156	geben	geben, übergeben, überreichen	(V. übereinstimm.) geben, übergeben, überreichen (allgemein)	2	d	•	•	•	•	•	2	Verben	2 d
5204	Geburtstag_1	Geburtstag, Wiegenfest	(N.) Geburtstag, Wiegenfest	1	c	•	•	•		•	2	Familie, Feste, Nomen	1 c
8054	Geburtstag_2	Geburtstag, Wiegenfest	(N.) Geburtstag, Wiegenfest	1	c				•		2	Feste, Nomen	1 c
3095	gefährlich	gefährlich, bedrohlich	(Adj.) gefährlich, bedrohlich$Handform: «F»	4	d	•	•	•	•	•	2	Adj., Adv.	4 d
8568	gefallen	gefallen, attraktiv, schön, hübsch	(V.) jmd. gefallen, etwas gefällt jmd., attraktiv/schön/ hübsch finden/empfinden (Person, Sache)	1	a	•	•	•	•	•	2	Verben	1a
4103	gefangen	gefangen, ausweglos, gezwungen	(Adj.) gefangen, ausweglos, gezwungen, keine andere Wahl haben	4	c	•	•	•	•	•	2	Adj., Adv.	4 c
5374	Gegenteil	Gegenteil, Gegensatz, Kontrast	(N.) Gegenteil, Gegensatz, Kontrast (Idee, Charakter)	3	c	•	•	•	•	•	2	Nomen	3 c
882	gegenüber	gegenüber	(Präp.) gegenüber (räumlich)$z.B. die Kirche ist gegenüber dem Bahnhof	2	a	•	•	•	•	•	2	Adj., Adv.	2a
8251	Geheimnis	Geheimnis, geheim, vertraulich	(N.) Geheimnis$(Adj.) geheim, vertraulich	1	c	•	•	•	•	•	2	Adj., Adv., Nomen	1 c
178	gehen_d	gehen, fortgehen	(V.) gehen, fortgehen$z.B. Ich muss jetzt gehen.	4	d	•	•	•	•	•	2	Verben	4 d
121	gehen_e	gehen, abhauen, fortgehen, davonlaufen	(V.) gehen, abhauen fortgehen, davonlaufen, entfernen, verschwinden, sich aus dem Staub machen$(unbestimmter Zielort)	4	d	•	•	•	•	•	2	Verben	4 d
6658	gehen_in_Reihe	gehen	(V.) gehen (in einer Reihe)	4	d	•	•	•	•	•	2	Verben	4 d
7780	gehören	gehören, verwandt	(V. übereinstimmende) gehören, verwandt sein	1	a	•	•	•	•	•	2	Familie, Verben	1a
5276	gehört	gehört, vernommen	(V.-Vergangenheit) gehört, vernommen$z.B. etwas gehört haben	4	c	•	•	•	•	•	2	Verben	4 c
538	Geld	Geld, Kohle, Moneten, Mäuse	(N.) Geld (Zahlungsmittel)$ugs. Kohle, Moneten, Mäuse	1	c	•	•	•	•	•	2	Nomen	1 c
889	Gemüse	Gemüse	(N.) Gemüse	4	c	•	•	•	•	•	2	Essen, Nomen	4 c
3093	gemütlich	gemütlich, langsam, gemächlich	(Adv.) gemütlich, langsam, gemächlich	3	d	•	•	•	•	•	2	Wohnen, Adj., Adv.	3 d
754	Generation	Generation	(N.) Generation	1	a	•	•	•	•	•	2	Familie, Nomen	1a
837	genug_a	genug, genügend, genügt, satt	(Adj.) genug, genügend, genügt, satt sein$z.B. Arbeit, Geld, Geduld, Vertrauen, Essen	1	b	•	•	•	•	•	2	Adj., Adv.	1 b
856	genug_b	genug, zuviel, überlastet	(Adj.) genug haben, zuviel, überlastet sein (Arbeit)$z.B.$- zu viel Arbeit haben, überlastet sein, sich überlastet fühlen$- eine Sache wächst mir über den Kopf, übersteigt meine Fähigkeiten/Möglichkeiten$- bis oben voll sein, eingedeckt sein mit Arbeit	1	b	•	•	•	•	•	2	Adj., Adv.	1 b
22	genug_c	genug, genügt	(V.) genug haben$(Interjektion, Befehl) es reicht!, genug!, es genügt!$ugs. die Nase voll haben/die Schnauze voll haben von$z.B.$- genug haben von einer Person$- von einer Sache reicht mir jetzt!	1	b	•	•	•	•	•	2	Adj., Adv., Begrüssung Interjektion Rückmeldung, Verben	1 b
6602	geradeaus	geradeaus, weiter	(Adv.) geradeaus, weiter	2	c	•	•	•	•	•	2	Adj., Adv.	2 c
6674	geschafft	geschafft, erreicht, erfolgreich	(V.) etwas geschafft haben, etwas erreicht haben, erfolgreich sein	1	c	•	•	•	•	•	2	Verben	1 c
6645	Geschäftsführer	Geschäftsführer	(N.) Geschäftsführer	4	b	•	•	•	•	•	2	Nomen	4 b
5145	Geschenk	Geschenk, Mitbringsel (Schenkung)	(N.) Geschenk, Mitbringsel, kleine Aufmerksamkeit$Hinweis: jmd. testamentarisch etwas vermachen, eine Schenkung machen	4	b	•	•	•	•	•	2	Feste Nomen	4 b
127	Geschichte	Geschichte, Erzählung	(N.) Geschichte, Erzählung	3	d	•	•	•	•	•	2	Nomen	3 d
254	geschieden	geschieden, scheiden	(V.) scheiden, «Ehe auflösen»$(Adj.) geschieden (Ehe)	1	b	•	•	•	•	•	2	Familie, Adj., Adv., Verben	1 b
2447	geschlossen	geschlossen, zu, verschlossen, introvertiert	(Adj.) geschlossen, zu, (Geschäft, Laden, Türe etc.)$(Adj.) verschlossen, introvertiert (Persönlichkeit)$Hinweis: Ausführungsstelle näher am Körper	4	c	•	•	•	•	•	2	Adj., Adv.	4 c
5418	Geschwister	Geschwister	(N.) Geschwister	1	a	•	•	•	•	•	2	Familie, Nomen	1a
6283	Gesellschaft_a	Gesellschaft	(N.) Gesellschaft (soziologisch, sozial) (allgem. und vom Perspektiv Nicht-Mitglied)	3	d	•	•	•	•	•	2	Nomen	3 d
6689	Gesellschaft_b	Gesellschaft	(N.) Gesellschaft (soziologisch, sozial) (allgem. und vom Perspektiv Mitgleid)	3	d	•	•	•	•	•	2	Nomen	3 d
724	gestern	gestern	(Adv.) gestern, am Vortag, «am Tag zuvor»	2	b	•	•	•	•	•	2	Zeit_Kalender, Adj., Adv.	2 b
3020	gesund	gesund, fit	(Adj.) gesund, fit$z.B.$- jmd. ist körperlich und geistig gesund, fit$- Früchte essen ist gesund.$- Sport treiben ist gesund	2	d	•	•	•	•	•	2	Adj., Adv.	2 d
6637	Getränk_1	Getränk	(N.) Getränk	2	a	•	•	•		•	2	Essen, Nomen	2a
6690	Getränk_2	Getränk	(N.) Getränk	2	a				•		2	Essen	2a
9152	gibt_1	gibt	(V.) gibt, es gibt	1	c	•	•	•		•	2	Verben	1 c
5693	gibt_2	gibt	(V.) gibt, es gibt	1	c				•		2	Verben	1 c
5139	Glas	Glas, Trinkglas	(N.) Glas, Trinkglas (Trinkgefäss)	1	c	•	•	•	•	•	2	Nomen	1 c
59	glauben_1	glauben, annehmen	(V.) glauben, annehmen, glauben auf Grund von Ereignissen, Fakten, Tatsachen	1	d	•		•		•	2	Verben	1 d
5657	glauben_2	glauben, annehmen	(V.) glauben, annehmen, glauben auf Grund von Ereignissen, Fakten, Tatsachen	1	d		•		•		2	Verben	1 d
5027	Glück	Glück, glücklicherweise	(V.) Glück gehabt, Schwein gehabt,$(Adv.) glücklicherweise, zum Glück	1	d	•	•	•	•	•	2	Adj., Adv., Verben	1 d
6157	Grenze	Grenze, Schranke, Landesgrenze, Staatsgrenze	(N.) Grenze, Schranke, Landesgrenze, Staatsgrenze (Ort, geografisch)$Hinweis: Eine persönliche Grenze, sich abgrenzen, wird näher am Körper ausgeführt.	3	b	•	•	•	•	•	2	Länder, Städte, Nomen	3 b
5732	Grill_1	Grill, grillieren	(N.) Grill$(V.) grillieren	1	c					•	2	Essen, Freizeit, Ferien, Reisen, Nomen, Verben	1 c
7117	Grill_2	Grill, grillieren	(N.) Grill$(V.) grillieren	1	c	•	•	•	•	•	2	Essen, Freizeit, Ferien, Reisen, Nomen, Verben	1 c
7028	Grippe_1	Grippe, Erkältung	(N.) Grippe, Erkältung	2	d	•	•	•		•	2	Nomen	2 d
5684	Grippe_2	Grippe, Erkältung	(N.) Grippe, Erkältung	2	d				•		2	Nomen	2 d
5427	Grosseltern	Grosseltern	(N.) Grosseltern, Oma und Opa	1	a	•	•	•	•	•	2	Familie, Nomen	1a
209	Grossmutter_1	Grossmutter	(N.) Grossmutter	4	c			•	•	•	2	Familie, Nomen	4 c
5705	Grossmutter_2	Grossmutter	(N.) Grossmutter	4	c	•	•				2	Familie, Nomen	4 c
200	Grossvater	Grossvater, Opa, Grosspapa	(N.) Grossvater , Opa, Grosspapa (alte Gebärde)	2	d	•	•	•	•	•	2	Familie, Nomen	2 d
29	Gruppe	Gruppe, Gruppierung, gruppieren	(N.) Gruppe, Gruppierung, ein Kreis von Personen$(V.) gruppieren, zusammenschliessen (Gruppe bilden)$z.B. sich zu einer Gruppe zusammenschliessen$oft in Kombination:$Arbeitsgruppe = ARBEIT+GRUPPE	1	d	•	•	•	•	•	2	Nomen, Verben	1 d
893	Hamburger_1	Hamburger	(N.) Hamburger (Essen)	4	c		•	•		•	2	Essen, Nomen	4 c
5619	Hamburger_2	Hamburger	(N.) Hamburger (Essen)	4	c	•					2	Essen, Nomen	4 c
5673	Hamburger_3	Hamburger	(N.) Hamburger (Essen)	4	c				•		2	Essen, Nomen	4 c
2918	Hamster	Hamster	(N.) Hamster (Tier)	1	b	•	•	•	•	•	2	Tiere, Nomen	1 b
5081	harmlos	harmlos, ungefährlich	(Adj.) harmlos, ungefährlich	2	d	•	•	•	•	•	2	Adj., Adv.	2 d
5098	hart	hart, streng, unerbittlich	(Adj.) hart (Material, Sache)$z.B. Brot$(Adj.) hart, unerbittlich (Mensch, Charakter)$z.B. Der Chef ist hart.	2	b	•	•	•	•	•	2	Adj., Adv.	2 b
9011	Hase	Hase, Kaninchen	(N.) Hase, Kaninchen	1	b	•	•	•	•	•	2	Tiere, Nomen	1 b
384	hassen_a	hassen, verabscheuen, verachten, Hass	(V. übereinstimm.) hassen, verabscheuen, verachten, ablehnen, nicht ausstehen können (gegen Person, Situation gerichtet)$Kombinationen:$HASSEN PERSON (verachten)$FREMDE HASSEN (Fremdenhass)$Die DSGS kennt HASSEN nur als Verb. In der Deutschübersetzung kann es sinngemäss auch als Nomen (der Hass, Hass empfinden) verwendet werden.	3	c	•	•	•	•	•	2	Verben	3 c
5074	hassen_b	hassen, eklig, ekelhaft, ekelerregend	(V.) hassen, «etwas zum Kotzen finden», «gar nicht mögen» (Personen, Objekte) z.B. Essen$(Adj.) etwas als eklig, ekelhaft, ekelerregend empfinden	3	c	•	•	•	•	•	2	Adj., Adv., Verben	3 c
3979	Hauptbahnhof_1	Hauptbahnhof	(N.) Hauptbahnhof	4	a	•	•		•	•	2	Freizeit, Ferien, Reisen, Nomen	4a
5659	Hauptbahnhof_2	Hauptbahnhof	(N.) Hauptbahnhof	4	a			•			2	Freizeit, Ferien, Reisen, Nomen	4a
3980	Hauptstadt	Hauptstadt	(N.) Hauptstadt	2	c	•	•	•	•	•	2	Freizeit, Ferien, Reisen, Landschaft, Nomen	2 c
9138	Hauptstrasse	Hauptstrasse	(N.) Hauptstrasse	3	a	•	•	•	•	•	2	Landschaft, Nomen	3a
3981	Haushalt_1	Haushalt, haushalten	(N.) Haushalt$(V.) haushalten	2	a	•			•	•	2	Wohnen, Nomen, Verben	2a
5730	Haushalt_2	Haushalt, haushalten	(N.) Haushalt$(V.) haushalten	2	a		•	•			2	Wohnen, Nomen, Verben	2a
9142	Haustier	Haustier	(N.) Haustier	3	d	•	•	•	•	•	2	Tiere, Nomen	3 d
